number,value,datetime_start,datetime_complete,duration,params_w_knn,params_w_mf,params_w_pop,user_attrs_weights_normalized,state
17,0.04409327239098621,2025-11-17 17:48:09.954316,2025-11-17 17:48:28.364689,0 days 00:00:18.410373,0.39041112307834597,0.7917039003688521,0.015367089793930122,"{'w_mf': 0.6611404810264857, 'w_knn': 0.3260266844584857, 'w_pop': 0.012832834515028587}",COMPLETE
18,0.034775327383222324,2025-11-17 17:48:28.364689,2025-11-17 17:48:47.735626,0 days 00:00:19.370937,0.74563681830655,0.5109221382565085,0.1429532984751069,"{'w_mf': 0.3650715714830059, 'w_knn': 0.5327833433557294, 'w_pop': 0.10214508516126461}",COMPLETE
19,0.040659245303925215,2025-11-17 17:48:47.736670,2025-11-17 17:49:05.975209,0 days 00:00:18.238539,0.19443592869333845,0.7651540065484254,0.3719963939384475,"{'w_mf': 0.5746184004603675, 'w_knn': 0.14601826740970117, 'w_pop': 0.2793633321299314}",COMPLETE
20,0.035555673093178586,2025-11-17 17:49:05.975209,2025-11-17 17:49:24.122140,0 days 00:00:18.146931,0.3632597236367281,0.4974394286619533,0.10196978353952088,"{'w_mf': 0.5167294904232361, 'w_knn': 0.3773464688776266, 'w_pop': 0.10592404069913725}",COMPLETE
21,0.05414369111815514,2025-11-17 17:49:24.122140,2025-11-17 17:49:43.570951,0 days 00:00:19.448811,0.3651501503587594,0.7675614838115019,0.004455327871820357,"{'w_mf': 0.6749769465981881, 'w_knn': 0.3211051345556474, 'w_pop': 0.0039179188461645476}",COMPLETE
22,0.051207907098298706,2025-11-17 17:49:43.571989,2025-11-17 17:50:02.560340,0 days 00:00:18.988351,0.14022713300863354,0.7117262045296868,0.00910020655661953,"{'w_mf': 0.8265760119224499, 'w_knn': 0.16285529973171106, 'w_pop': 0.010568688345838965}",COMPLETE
23,0.038367694776567346,2025-11-17 17:50:02.560340,2025-11-17 17:50:20.921720,0 days 00:00:18.361380,0.32358850365154723,0.7075137407692743,0.22885696191819468,"{'w_mf': 0.5615370221588779, 'w_knn': 0.2568245876719913, 'w_pop': 0.18163839016913086}",COMPLETE
24,0.04045937951713203,2025-11-17 17:50:20.921720,2025-11-17 17:50:40.217621,0 days 00:00:19.295901,0.14713696231742257,0.7060833553738386,0.234891711582017,"{'w_mf': 0.6489068555242545, 'w_knn': 0.13522225502432092, 'w_pop': 0.21587088945142446}",COMPLETE
25,0.035135092135505676,2025-11-17 17:50:40.217621,2025-11-17 17:50:58.800357,0 days 00:00:18.582736,0.40223911059128536,0.8884323547960318,0.1017395290169376,"{'w_mf': 0.6380532460361309, 'w_knn': 0.2888795852717207, 'w_pop': 0.07306716869214826}",COMPLETE
26,0.035308767507363295,2025-11-17 17:50:58.800357,2025-11-17 17:51:17.022614,0 days 00:00:18.222257,0.4502970478167697,0.901475315211008,0.09463968059265117,"{'w_mf': 0.6232493148733594, 'w_knn': 0.3113200348426702, 'w_pop': 0.06543065028397037}",COMPLETE
27,0.03785538642550049,2025-11-17 17:51:17.022614,2025-11-17 17:51:35.793116,0 days 00:00:18.770502,0.2978916190063636,0.7035934631700503,0.16324299888780125,"{'w_mf': 0.6040838841347203, 'w_knn': 0.2557606567999796, 'w_pop': 0.1401554590653002}",COMPLETE
28,0.04070493388399795,2025-11-17 17:51:35.793116,2025-11-17 17:51:54.018564,0 days 00:00:18.225448,0.18424844668764442,0.6035922064469312,0.4051660091792778,"{'w_mf': 0.477307471395906, 'w_knn': 0.14569962842095618, 'w_pop': 0.3}",COMPLETE
29,0.05826543973872364,2025-11-17 17:51:54.019561,2025-11-17 17:52:12.623066,0 days 00:00:18.603505,0.22829041711172487,0.8280156267460421,0.0003221169176319833,"{'w_mf': 0.783639559765669, 'w_knn': 0.21605558661638888, 'w_pop': 0.0003048536179421909}",COMPLETE
30,0.03844250328742038,2025-11-17 17:52:12.623066,2025-11-17 17:52:31.292163,0 days 00:00:18.669097,0.2151653578901117,0.8660438464665794,0.19221509487284513,"{'w_mf': 0.6800905613239551, 'w_knn': 0.16896595896614652, 'w_pop': 0.15094347970989844}",COMPLETE
31,0.03791782261368443,2025-11-17 17:52:31.293188,2025-11-17 17:52:50.474591,0 days 00:00:19.181403,0.10233953865787043,0.8290751496368508,0.06930912726918267,"{'w_mf': 0.8284754861856369, 'w_knn': 0.10226551728480902, 'w_pop': 0.06925899652955422}",COMPLETE
32,0.04100045904817904,2025-11-17 17:52:50.474591,2025-11-17 17:53:08.820831,0 days 00:00:18.346240,0.30649003759628757,0.7319428294667741,0.019210508296681594,"{'w_mf': 0.692050691678387, 'w_knn': 0.28978580562851736, 'w_pop': 0.01816350269309577}",COMPLETE
33,0.04027617569713634,2025-11-17 17:53:08.820831,2025-11-17 17:53:29.856007,0 days 00:00:21.035176,0.2535533059092457,0.6547466222229438,0.3014308007538731,"{'w_mf': 0.5412333559765352, 'w_knn': 0.20959482953923242, 'w_pop': 0.24917181448423228}",COMPLETE
34,0.03732891728526379,2025-11-17 17:53:29.856007,2025-11-17 17:53:49.913421,0 days 00:00:20.057414,0.2641457715142935,0.6320973634131607,0.1388418615660005,"{'w_mf': 0.610671940521319, 'w_knn': 0.2551923488497438, 'w_pop': 0.13413571062893717}",COMPLETE
35,0.05115425627043074,2025-11-17 17:53:49.914419,2025-11-17 17:54:08.169076,0 days 00:00:18.254657,0.09156554449188425,0.839128217319788,0.013337438784930527,"{'w_mf': 0.8888776311518953, 'w_knn': 0.09699419302457084, 'w_pop': 0.014128175823533817}",COMPLETE
36,0.04050805637730392,2025-11-17 17:54:08.170080,2025-11-17 17:54:26.225146,0 days 00:00:18.055066,0.17842420275268864,0.009976947638434763,0.07454980397075818,"{'w_mf': 0.03794223779353227, 'w_knn': 0.6785455606566672, 'w_pop': 0.28351220154980056}",COMPLETE
37,0.03985512722240859,2025-11-17 17:54:26.225146,2025-11-17 17:54:45.522174,0 days 00:00:19.297028,0.4737874878822643,0.5651744912716057,0.2886818170450588,"{'w_mf': 0.42569738426053116, 'w_knn': 0.3568634066145811, 'w_pop': 0.21743920912488782}",COMPLETE
38,0.040191753065532736,2025-11-17 17:54:45.523172,2025-11-17 17:55:04.196621,0 days 00:00:18.673449,0.7733347221752858,0.44903508804072817,0.5953556905190373,"{'w_mf': 0.23731667445466073, 'w_knn': 0.4087102086113853, 'w_pop': 0.3}",COMPLETE
39,0.03754920591882618,2025-11-17 17:55:04.197664,2025-11-17 17:55:22.579757,0 days 00:00:18.382093,0.541259964177077,0.6592453326564067,0.17922769098114077,"{'w_mf': 0.47780645855296483, 'w_knn': 0.3922932690290932, 'w_pop': 0.129900272417942}",COMPLETE
40,0.04086655696205348,2025-11-17 17:55:22.579757,2025-11-17 17:55:41.673294,0 days 00:00:19.093537,0.12332366652365295,0.9951635985261444,0.743544735620476,"{'w_mf': 0.45862022661046664, 'w_knn': 0.056833597984568426, 'w_pop': 0.3}",COMPLETE
41,0.047107688446297105,2025-11-17 17:55:41.673294,2025-11-17 17:56:00.681293,0 days 00:00:19.007999,0.08534517904233778,0.8376787824365158,0.023282504322993412,"{'w_mf': 0.8852087697897254, 'w_knn': 0.09018767400053752, 'w_pop': 0.024603556209737112}",COMPLETE
42,0.060188068026127084,2025-11-17 17:56:00.681752,2025-11-17 17:56:18.957401,0 days 00:00:18.275649,0.14454619362964338,0.9304361640739778,0.0025080086031234834,"{'w_mf': 0.8635215619265194, 'w_knn': 0.13415079906941213, 'w_pop': 0.0023276390040683596}",COMPLETE
43,0.03618305764323741,2025-11-17 17:56:18.958405,2025-11-17 17:56:37.892684,0 days 00:00:18.934279,0.32313517875227604,0.9240898098659134,0.1206216035971649,"{'w_mf': 0.6755800066506467, 'w_knn': 0.236236417586075, 'w_pop': 0.08818357576327843}",COMPLETE
44,0.036412252217750046,2025-11-17 17:56:37.892684,2025-11-17 17:56:56.160969,0 days 00:00:18.268285,0.22038451324460862,0.754639058379023,0.06543596864351943,"{'w_mf': 0.7252939967134714, 'w_knn': 0.2118145922214545, 'w_pop': 0.06289141106507412}",COMPLETE
45,0.04397115271483895,2025-11-17 17:56:56.160969,2025-11-17 17:57:14.169900,0 days 00:00:18.008931,0.9901888187383676,0.7889957543338235,0.0004507598983880842,"{'w_mf': 0.4433468698426135, 'w_knn': 0.5563998423685699, 'w_pop': 0.00025328778881664074}",COMPLETE
